date,timeofday,phase,activity
2021-02-15,11:00:00,1,11.52579466533272
2021-02-15,13:26:00,1,11.985322511847654
2021-02-15,13:40:00,1,11.887166803899587
2021-02-16,10:59:00,1,9.398116615539257
2021-02-16,11:14:00,1,11.224937736156493
2021-02-16,12:22:00,1,10.32674012053323
2021-02-16,12:37:00,1,9.564059626436782
2021-02-17,13:23:00,1,9.854822041200292
2021-02-17,13:38:00,1,9.477104425924638
2021-02-18,10:31:00,1,10.938333437253778
2021-02-18,10:46:00,1,10.850044729676492
2021-02-18,12:43:00,1,9.200244150510116
2021-02-18,12:58:00,1,9.854253389616934
2021-02-19,10:22:00,1,11.685309777791296
2021-02-19,10:37:00,1,11.709711996619507
2021-02-19,13:23:00,1,9.8854400445663
2021-02-19,13:38:00,1,9.607142947024473
2021-02-20,16:06:00,1,10.302017321474093
2021-02-20,16:21:00,1,10.98099474126344
2021-02-20,16:36:00,1,10.952308693180502
2021-02-21,15:51:00,1,11.269725727225854
2021-02-21,16:06:00,1,10.174540996506535
2021-02-21,16:21:00,1,11.367045860417827
2021-02-22,11:06:00,2,6.747287384963327
2021-02-22,11:21:00,2,7.358117939927466
2021-02-22,14:07:00,2,6.45972785506031
2021-02-22,14:22:00,2,6.541952415878754
2021-02-22,14:37:00,2,6.195933476540774
2021-02-23,12:01:00,2,5.847488426702412
2021-02-23,12:16:00,2,6.517871982975876
2021-02-23,14:30:00,2,5.6870441227014386
2021-02-23,14:45:00,2,6.21801738140034
2021-02-23,15:00:00,2,5.9742650078139485
2021-02-24,10:46:00,2,6.151892696130828
2021-02-24,11:01:00,2,6.237425362707697
2021-02-24,11:16:00,2,6.051630738074133
2021-02-24,14:13:00,2,5.200089500993581
2021-02-24,14:28:00,2,5.7339523953119205
2021-02-25,09:37:00,2,5.698803705614745
2021-02-25,09:52:00,2,6.524648892504982
2021-02-25,10:07:00,2,6.41366521087522
2021-02-25,13:51:00,2,5.204186097580935
2021-02-25,14:06:00,2,5.361967874388788
2021-02-26,10:56:00,2,7.5930746580039745
2021-02-26,11:11:00,2,8.07764219622642
2021-02-26,11:26:00,2,8.384446362929296
2021-02-26,14:14:00,2,5.660037621047402
2021-02-26,14:29:00,2,6.6652204919166556
2021-02-27,11:12:00,2,6.1382584349001785
2021-02-27,11:27:00,2,5.502299791036626
2021-02-27,13:43:00,2,7.31636502664274
2021-02-27,13:58:00,2,7.249768182529199
2021-02-27,14:13:00,2,6.943025966713593
2021-02-28,11:34:00,2,7.974641716888847
2021-02-28,14:59:00,2,7.1027821104757605
2021-03-01,13:48:00,3,6.808957245862011
2021-03-01,14:03:00,3,7.014103022600343
2021-03-02,11:39:00,3,5.18606113701277
2021-03-02,11:54:00,3,5.074402126603344
2021-03-02,14:01:00,3,6.761478167509616
2021-03-02,14:16:00,3,6.898376016066753
2021-03-02,14:31:00,3,7.134082602703814
2021-03-03,10:18:00,3,5.889283335759351
2021-03-03,10:33:00,3,6.8319936550956495
2021-03-04,10:57:00,3,9.228627435721403
2021-03-04,11:12:00,3,9.623057655496849
2021-03-04,14:06:00,3,7.634895859874687
2021-03-04,14:21:00,3,8.211239783534078
2021-03-04,14:36:00,3,8.259884855858362
2021-03-05,13:51:00,3,6.965192841474613
2021-03-05,14:06:00,3,7.235991749223674
2021-03-07,12:19:00,3,7.731802381697256
2021-03-07,12:34:00,3,7.692403294821213
2021-03-07,12:49:00,3,7.875589620556406
