id,video_number,date,phase,minute,bird_pair,initials,feeding,drinking,foraging,play,standing,walking,jumping,perching,route_tracing,head_thru_bar,beak_scraping,pecking,laying_down,preening,flapping,hopping
151,4,2021-02-16,irr,1,Fern | Prudence,LW,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
152,4,2021-02-16,irr,2,Fern | Prudence,LW,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
153,4,2021-02-16,irr,3,Fern | Prudence,LW,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
154,4,2021-02-16,irr,4,Fern | Prudence,LW,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
155,4,2021-02-16,irr,5,Fern | Prudence,LW,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
156,4,2021-02-16,irr,6,Fern | Prudence,LW,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,4,2021-02-16,irr,7,Fern | Prudence,LW,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
158,4,2021-02-16,irr,8,Fern | Prudence,LW,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
159,4,2021-02-16,irr,9,Fern | Prudence,LW,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0
160,4,2021-02-16,irr,10,Fern | Prudence,LW,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
161,4,2021-02-16,irr,1,He-man | Uno,LW,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
162,4,2021-02-16,irr,2,He-man | Uno,LW,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
163,4,2021-02-16,irr,3,He-man | Uno,LW,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
164,4,2021-02-16,irr,4,He-man | Uno,LW,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
165,4,2021-02-16,irr,5,He-man | Uno,LW,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
166,4,2021-02-16,irr,6,He-man | Uno,LW,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
167,4,2021-02-16,irr,7,He-man | Uno,LW,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
168,4,2021-02-16,irr,8,He-man | Uno,LW,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
169,4,2021-02-16,irr,9,He-man | Uno,LW,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
170,4,2021-02-16,irr,10,He-man | Uno,LW,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
171,4,2021-02-16,irr,1,Comanche | Sapphire,LW,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
172,4,2021-02-16,irr,2,Comanche | Sapphire,LW,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
173,4,2021-02-16,irr,3,Comanche | Sapphire,LW,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
174,4,2021-02-16,irr,4,Comanche | Sapphire,LW,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
175,4,2021-02-16,irr,5,Comanche | Sapphire,LW,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
